Gene.symbol,Gene.ID,adj.P.Val,logFC
SPNS3,201305,0.000151796073200001,1.91461501145352
MIRLET7G,406890,7.83479625904245e-05,-1.91375796513038
HOXA7,3204,0.0165035805507351,1.91179225770182
DIAPH3,81624,6.00905735838959e-14,1.91092967643311
IL3RA,3563,2.78153517312969e-05,1.9106070164898
PLK1,5347,8.92230762966922e-07,1.91021684922676
CLSPN,63967,1.50828082674629e-12,1.90987652663945
CXCR5,643,1,-1.90876412328344
TMEM2,23670,3.06157314056368e-10,-1.90829679764626
ETS1,2113,1,-1.90811870757709
BACH2,60468,1,-1.90803266932426
C3orf80,401097,0.00317764919396376,1.90761608144671
PIEZO2,63895,0.000688124512494277,1.9048860760771
DNAJC12,56521,9.07470454026506e-09,1.90480798774603
CR1,1378,1,-1.90473192415533
MED12L,116931,0.0960641810702756,1.90458598745805
,,0.000373367419215344,-1.90442149607596
RASGRP3,25780,1,1.90173925483787
E2F8,79733,8.90507950659055e-12,1.90107723190249
PLCL2,23228,1.99738031526167e-14,-1.89971809574036
GABBR1,2550,0.000154238947716645,-1.89951460283106
PRG2,5553,2.72494625518382e-06,1.89638459668708
CEACAM1,634,1,-1.8962117047551
IGF1R,3480,0.046504241506479,-1.89590736806916
WDR12,55759,0.000478918124838025,1.8951509320839
FAM72A///FAM72D///FAM72B,729533///728833///653820,0.00729233164204925,1.89499828218708
CKAP2L,150468,7.94499189212509e-09,1.89476618703968
HOXB3,3213,0.00014622727846243,1.89430244640363
RIC3,79608,0.212395068390469,-1.89386707344558
CABLES1,91768,0.000593138457197955,1.89220661755896
SNORD52,26797,2.31703993894405e-08,1.88990420896146
LEF1,51176,1,-1.88868255702608
TSHZ2,128553,1,-1.88859776788095
NRIP3,56675,3.49187853914793e-07,1.888527976983
TMEM45B,120224,0.782702747876649,-1.88720527182426
LPAR4,2846,4.78345640275589e-08,1.88703198399886
ABHD17A,81926,0.444556465658828,-1.8855183974161
AREG,374,1,1.88444677043197
KIAA0101,9768,1.48240149390731e-11,1.88401066591383
GIMAP1-GIMAP5///GIMAP5,100527949///55340,1,-1.88271422088889
SLC2A5,6518,0.000411888529204289,1.88173047956689
PATJ,10207,0.502502778245884,-1.8815255161746
STK38,11329,9.39699953571616e-16,-1.8804326870068
MYO5C,55930,0.000815269806858019,1.87745291554989
SEPT11,55752,1.20587952195528e-05,1.8758797220941
KIAA1524,57650,1.3429680145381e-06,1.87584421784467
IGF2R,3482,1,-1.8748317754864
HOXA5,3202,0.125975329238477,1.86962613421769
TSPAN7,7102,0.00831949124326137,1.86942198447279
THEMIS,387357,1,-1.8673870063322
DNTT,1791,0.383317285563426,1.86523481399433
PTCH1,5727,0.396335046919843,-1.86402312437301
SNTB2,6645,1.50377828456856e-06,-1.86022571342403
GNG2,54331,0.000231122901381539,-1.85901072147959
CD68,968,1,1.85814964094331
,,0.858315845815723,1.85808733847846
TARS,6897,0.0173316438140535,1.85618884333561
CDKL5,6792,0.0169231093418918,-1.85605496991043
